date,strategy,equity_usdc,source_archive
2026-01-01,Buy-and-hold,1013.77628453,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-01,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-01,Champion V741,1000.0,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-02,Buy-and-hold,1027.3361148,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-02,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-02,Champion V741,1000.0,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-03,Buy-and-hold,1034.7334447899998,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-03,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-03,Champion V741,1000.0,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-04,Buy-and-hold,1044.33139309,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-04,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-04,Champion V741,1000.0,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-05,Buy-and-hold,1071.7825204199999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-05,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-05,Champion V741,1000.0,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-06,Buy-and-hold,1070.2517341799999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-06,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-06,Champion V741,1000.0,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-07,Buy-and-hold,1042.82729609,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-07,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-07,Champion V741,1000.0,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-08,Buy-and-hold,1039.72376722,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-08,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-08,Champion V741,1000.0,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-09,Buy-and-hold,1033.79140509,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-09,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-09,Champion V741,994.12237643,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-10,Buy-and-hold,1032.50217909,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-10,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-10,Champion V741,992.8830824300001,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-11,Buy-and-hold,1037.4823234199998,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-11,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-11,Champion V741,997.6703447,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-12,Buy-and-hold,1041.51545209,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-12,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-12,Champion V741,997.5050363400001,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-13,Buy-and-hold,1088.23293109,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-13,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-13,Champion V741,1006.94641779,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-14,Buy-and-hold,1106.4743480899997,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-14,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-14,Champion V741,1006.94641779,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-15,Buy-and-hold,1090.958287,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-15,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-15,Champion V741,1006.94641779,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-16,Buy-and-hold,1090.6252369499998,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-16,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-16,Champion V741,1006.94641779,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-17,Buy-and-hold,1085.790074,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-17,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-17,Champion V741,1006.94641779,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-18,Buy-and-hold,1069.4464202899999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-18,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-18,Champion V741,1006.94641779,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-19,Buy-and-hold,1056.92973218,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-19,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-19,Champion V741,1006.94641779,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-20,Buy-and-hold,1009.1830210899999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-20,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-20,Champion V741,1006.94641779,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-21,Buy-and-hold,1021.0011522699999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-21,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-21,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-22,Buy-and-hold,1022.0389791999999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-22,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-22,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-23,Buy-and-hold,1022.5613419099999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-23,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-23,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-24,Buy-and-hold,1017.66533654,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-24,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-24,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-25,Buy-and-hold,989.1660910899999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-25,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-25,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-26,Buy-and-hold,1008.3588211699998,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-26,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-26,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-27,Buy-and-hold,1018.1962940899999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-27,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-27,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-28,Buy-and-hold,1018.3434241799998,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-28,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-28,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-29,Buy-and-hold,966.5785122999999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-29,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-29,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-30,Buy-and-hold,961.76212229,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-30,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-30,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-01-31,Buy-and-hold,899.3726310899999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-31,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-01-31,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-01,Buy-and-hold,880.68857983,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-01,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-01,Champion V741,1027.90023353,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-02,Buy-and-hold,899.9767578699999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-02,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-02,Champion V741,1036.61012091,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-03,Buy-and-hold,865.4567139099998,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-03,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-03,Champion V741,1036.61012091,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-04,Buy-and-hold,835.81605109,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-04,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-04,Champion V741,1046.09700087,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-05,Buy-and-hold,719.1780785199999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-05,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-05,Champion V741,1046.09700087,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-06,Buy-and-hold,807.9948932799999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-06,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-06,Champion V741,1113.38551685,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-07,Buy-and-hold,793.7965568699999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-07,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-07,Champion V741,1113.38551685,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-08,Buy-and-hold,804.6246981899999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-08,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-08,Champion V741,1113.38551685,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-09,Buy-and-hold,803.30572952,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-09,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-09,Champion V741,1113.38551685,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-10,Buy-and-hold,788.148503,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-10,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-10,Champion V741,1113.38551685,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-11,Buy-and-hold,767.64664308,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-11,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-11,Champion V741,1124.41890989,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-12,Buy-and-hold,758.8784361099999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-12,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-12,Champion V741,1124.41890989,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-13,Buy-and-hold,788.6675860999999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-13,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-13,Champion V741,1124.41890989,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-14,Buy-and-hold,799.10420984,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-14,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-14,Champion V741,1124.41890989,results/champion_common_full/backtest-result-2026-08-17_17-39-56.zip
2026-02-15,Buy-and-hold,788.0466089099999,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
2026-02-15,Cash,1000.0,results/baselines_full_development/backtest-result-2026-08-17_17-39-20.zip
